date,open,high,low,close,volume
2025-10-13,516.41,516.41,511.68,514.05,14284238.0
2025-10-14,510.225,515.282,506.0,513.57,14684300.0
2025-10-15,514.955,517.19,510.0,513.43,14694654.0
2025-10-16,512.58,516.85,508.13,511.61,15559565.0
2025-10-17,509.04,515.48,507.31,513.58,19867765.0
2025-10-20,514.61,518.7,513.43,516.79,14665620.0
2025-10-21,517.5,518.69,513.04,517.66,15586204.0
2025-10-22,521.15,525.23,517.71,520.54,18962694.0
2025-10-23,522.46,523.95,518.61,520.56,14023532.0
2025-10-24,522.79,525.345,520.71,523.61,15532360.0
2025-10-27,531.78,534.58,529.01,531.52,18734716.0
2025-10-28,550.0,553.72,540.77,542.07,29986683.0
2025-10-29,544.94,546.27,536.7287,541.55,36023004.0
2025-10-30,530.48,534.97,522.12,525.76,41023088.0
2025-10-31,528.875,529.32,515.1,517.81,34006424.0
2025-11-03,519.805,524.96,514.59,517.03,22374742.0
2025-11-04,511.76,515.55,507.84,514.33,20958663.0
2025-11-05,513.3,514.83,506.575,507.16,23024342.0
2025-11-06,505.66,505.7,495.81,497.1,27406496.0
2025-11-07,496.945,499.377,493.25,496.82,24019764.0
2025-11-10,500.035,506.85,498.8,506.0,26101480.0
2025-11-11,504.8,509.6,502.3488,508.68,17980020.0
2025-11-12,509.355,511.67,499.1201,511.14,26574851.0
2025-11-13,510.31,513.5,501.29,503.29,25273114.0
2025-11-14,498.23,511.6,497.44,510.18,28505746.0
